open,high,low,close,volume
2020-09-30 15:45:00-04:00,96.1,96.73,96.1,96.27,237843
2020-10-01 09:30:00-04:00,97.11,97.74,96.395,97.06,180306
2020-10-01 09:45:00-04:00,97.05,97.24,96.5,96.53,66072
2020-10-01 10:00:00-04:00,96.52,96.66,96.07,96.36,169577
2020-10-01 10:15:00-04:00,96.38,96.57,96.3,96.375,105351
2020-10-01 10:30:00-04:00,96.38,96.81,96.3,96.589,92937
2020-10-01 10:45:00-04:00,96.58,96.63,96.2,96.325,131709
2020-10-01 11:00:00-04:00,96.39,96.65,96.179,96.65,148066
2020-10-01 11:15:00-04:00,96.64,97.05,96.64,96.96,46732
2020-10-01 11:30:00-04:00,96.99,97.09,96.77,96.81,64887
2020-10-01 11:45:00-04:00,96.82,96.85,96.66,96.78,27252
2020-10-01 12:00:00-04:00,96.77,96.84,96.6,96.82,42457
2020-10-01 12:15:00-04:00,96.795,96.98,96.6,96.98,51983
2020-10-01 12:30:00-04:00,97.0,97.115,96.89,97.1,16349
2020-10-01 12:45:00-04:00,97.07,97.085,96.895,96.92,72785
2020-10-01 13:00:00-04:00,96.91,97.07,96.88,96.91,28098
2020-10-01 13:15:00-04:00,96.885,97.03,96.83,96.845,42441
2020-10-01 13:30:00-04:00,96.875,97.16,96.78,97.055,43885
2020-10-01 13:45:00-04:00,97.125,97.125,96.45,96.54,102122
2020-10-01 14:00:00-04:00,96.59,96.72,96.11,96.25,247850
2020-10-01 14:15:00-04:00,96.28,96.75,96.25,96.69,147312
2020-10-01 14:30:00-04:00,96.69,96.93,96.68,96.9,81559
2020-10-01 14:45:00-04:00,96.86,96.95,96.8,96.845,30598
2020-10-01 15:00:00-04:00,96.835,96.98,96.77,96.81,32475
2020-10-01 15:15:00-04:00,96.85,96.85,96.54,96.64,59123
2020-10-01 15:30:00-04:00,96.64,96.819,96.56,96.56,44435
2020-10-01 15:45:00-04:00,96.57,97.05,96.53,96.98,215182
2020-10-02 09:30:00-04:00,95.33,96.19,95.11,95.83,118058
2020-10-02 09:45:00-04:00,95.83,95.99,95.56,95.81,73256
2020-10-02 10:00:00-04:00,95.86,96.44,95.78,96.2,49413
2020-10-02 10:15:00-04:00,96.28,96.36,96.03,96.275,30951
2020-10-02 10:30:00-04:00,96.31,96.46,96.035,96.16,40110
2020-10-02 10:45:00-04:00,96.15,96.499,96.145,96.4,28111
2020-10-02 11:00:00-04:00,96.39,96.7,96.36,96.68,20332
2020-10-02 11:15:00-04:00,96.75,97.22,96.65,97.15,566829
2020-10-02 11:30:00-04:00,97.18,97.43,97.125,97.31,66549
2020-10-02 11:45:00-04:00,97.27,97.36,97.03,97.03,19523
2020-10-02 12:00:00-04:00,97.0,98.235,96.99,98.06,48527
2020-10-02 12:15:00-04:00,98.13,98.54,98.03,98.03,35857
2020-10-02 12:30:00-04:00,98.09,98.265,98.05,98.22,22066
2020-10-02 12:45:00-04:00,98.225,98.45,98.03,98.44,58633
2020-10-02 13:00:00-04:00,98.44,98.53,98.16,98.16,22850
2020-10-02 13:15:00-04:00,98.18,98.3,98.17,98.18,22997
2020-10-02 13:30:00-04:00,98.18,98.18,97.6,97.6,46730
2020-10-02 13:45:00-04:00,97.69,97.69,97.54,97.63,9928
2020-10-02 14:00:00-04:00,97.69,98.02,97.67,98.02,17993
2020-10-02 14:15:00-04:00,98.015,98.14,97.98,98.06,15347
2020-10-02 14:30:00-04:00,98.08,98.31,98.08,98.23,20007
2020-10-02 14:45:00-04:00,98.23,98.295,98.03,98.04,22919
2020-10-02 15:00:00-04:00,98.02,98.07,97.82,97.84,229694
2020-10-02 15:15:00-04:00,97.8,98.12,97.795,98.12,26655
2020-10-02 15:30:00-04:00,98.135,98.19,97.85,97.86,43484
2020-10-02 15:45:00-04:00,97.865,98.05,97.85,97.89,134387
2020-10-05 09:15:00-04:00,98.11,98.11,98.11,98.11,200
2020-10-05 09:30:00-04:00,98.19,98.78,98.07,98.07,166737
2020-10-05 09:45:00-04:00,98.11,98.31,97.72,97.93,132625
2020-10-05 10:00:00-04:00,97.945,98.015,97.53,97.84,62907
2020-10-05 10:15:00-04:00,97.815,98.24,97.815,98.185,32348
2020-10-05 10:30:00-04:00,98.215,98.8,98.215,98.76,47316
2020-10-05 10:45:00-04:00,98.77,99.07,98.74,98.86,57110
2020-10-05 11:00:00-04:00,98.81,99.04,98.75,98.85,44940
2020-10-05 11:15:00-04:00,98.85,99.025,98.75,98.75,42977
2020-10-05 11:30:00-04:00,98.73,98.78,98.56,98.69,231684
2020-10-05 11:45:00-04:00,98.74,98.89,98.68,98.73,26127
2020-10-05 12:00:00-04:00,98.735,98.825,98.625,98.69,69289
2020-10-05 12:15:00-04:00,98.7,98.75,98.55,98.66,21619
2020-10-05 12:30:00-04:00,98.67,98.81,98.66,98.74,13776
2020-10-05 12:45:00-04:00,98.68,98.82,98.67,98.69,178305
2020-10-05 13:00:00-04:00,98.74,98.83,98.65,98.82,23490
2020-10-05 13:15:00-04:00,98.74,98.83,98.7,98.83,42514
2020-10-05 13:30:00-04:00,98.82,98.985,98.82,98.895,26313
2020-10-05 13:45:00-04:00,98.895,98.945,98.84,98.845,31610
2020-10-05 14:00:00-04:00,98.855,98.935,98.78,98.85,35551
2020-10-05 14:15:00-04:00,98.85,98.98,98.85,98.905,28128
2020-10-05 14:30:00-04:00,98.9,99.06,98.9,99.03,48475
2020-10-05 14:45:00-04:00,99.035,99.05,98.87,98.98,33838
2020-10-05 15:00:00-04:00,98.99,99.13,98.94,99.05,40002
2020-10-05 15:15:00-04:00,99.06,99.12,98.91,99.12,58255
2020-10-05 15:30:00-04:00,99.125,99.215,98.96,99.2,66324
2020-10-05 15:45:00-04:00,99.16,99.24,98.96,99.03,185999
2020-10-06 09:30:00-04:00,99.985,100.09,99.52,99.92,86183
2020-10-06 09:45:00-04:00,99.93,100.19,99.54,99.55,85699
2020-10-06 10:00:00-04:00,99.53,100.15,99.5,99.96,136936
2020-10-06 10:15:00-04:00,99.96,100.18,99.81,99.94,49349
2020-10-06 10:30:00-04:00,99.96,100.07,99.52,99.78,65692
2020-10-06 10:45:00-04:00,99.82,100.23,99.82,100.16,56883
2020-10-06 11:00:00-04:00,100.19,100.42,100.1,100.38,28239
2020-10-06 11:15:00-04:00,100.41,100.59,100.3,100.44,33663
2020-10-06 11:30:00-04:00,100.46,100.64,100.29,100.56,55241
2020-10-06 11:45:00-04:00,100.54,100.58,100.24,100.29,48821
2020-10-06 12:00:00-04:00,100.3,100.39,99.97,100.02,38356
2020-10-06 12:15:00-04:00,100.04,100.08,99.88,100.0,35088
2020-10-06 12:30:00-04:00,99.96,99.96,99.74,99.82,47176
2020-10-06 12:45:00-04:00,99.855,100.16,99.855,100.14,40184
2020-10-06 13:00:00-04:00,100.16,100.32,100.11,100.31,21383
2020-10-06 13:15:00-04:00,100.31,100.35,100.14,100.19,26016
2020-10-06 13:30:00-04:00,100.2,100.33,100.16,100.2,24297
2020-10-06 13:45:00-04:00,100.225,100.25,100.11,100.19,26961
2020-10-06 14:00:00-04:00,100.17,100.44,100.125,100.44,18275
2020-10-06 14:15:00-04:00,100.42,100.61,100.42,100.61,1918207
2020-10-06 14:30:00-04:00,100.65,100.85,100.55,100.82,23234
2020-10-06 14:45:00-04:00,100.815,100.86,97.99,98.39,131028
2020-10-06 15:00:00-04:00,98.32,98.32,97.53,98.02,74969
2020-10-06 15:15:00-04:00,98.01,98.265,97.7,98.26,47298
2020-10-06 15:30:00-04:00,98.21,98.63,98.05,98.15,46231
2020-10-06 15:45:00-04:00,98.07,98.48,97.76,98.03,103776
2020-10-07 09:15:00-04:00,98.95,98.95,98.95,98.95,802
2020-10-07 09:30:00-04:00,99.08,100.14,99.02,100.05,77376
